Name,Marks,City,Mobile Number
Ishani Kapoor,55,Ahmedabad,6263805818
Rajeshwari S.,94,Hyderabad,9854718792
Devika Singh,76,Mumbai,9717300222
Suresh Kumar,66,Pune,9307012597
Vivek Agnihotri,66,Lucknow,7691319031
Deepika Padukone,47,Chennai,9903799975
Ojaswi Bhatt,98,Jaipur,9946629896
Aditi Rao,54,Kolkata,6114599918
Ranveer Goel,37,Hyderabad,8279717972
Lakshya Joshi,90,Pune,6619648620
Siddharth Jain,85,Pune,6564259664
Pranav Kulkarni,44,Chennai,9252100293
Deepak Rao,74,Mumbai,8174648594
Rajeshwari S.,52,Bangalore,8803486972
Chaitanya Reddy,98,Chennai,6902677132
Advait Nair,41,Jaipur,7107213044
Shruti Iyer,37,Delhi,9940035249
Deepak Rao,84,Hyderabad,7784170641
Shruti Iyer,96,Lucknow,7408388174
Rahul Bose,95,Mumbai,6319684182
Abhinav Jha,52,Delhi,6591107233
Sunita Devi,39,Ahmedabad,7964387305
Varun Dhawan,85,Bangalore,7176902256
Rajeshwari S.,38,Kolkata,8271969648
Nikhil Saxena,72,Mumbai,9635108308
Aditi Rao,72,Mumbai,6279983046
Lakshya Joshi,87,Jaipur,6678296171
Kiran More,77,Hyderabad,9178318291
Zoya Ahmed,56,Jaipur,9595337751
Tanya Mishra,51,Hyderabad,6737734155
Advait Nair,44,Kolkata,9179977212
Divya Reddy,80,Lucknow,9690765626
Gauri Deshmukh,35,Mumbai,9608389967
Vanya Patil,69,Ahmedabad,8831164577
Rahul Bose,56,Pune,8946225595
Shruti Iyer,97,Lucknow,7638951992
Ranveer Goel,96,Chennai,6293929357
Shruti Iyer,87,Ahmedabad,6904164883
Divya Reddy,64,Mumbai,6180954446
Ojaswi Bhatt,64,Ahmedabad,8102131796
Yuvraj Singh,60,Bangalore,9856352620
Alia Bhatt,36,Delhi,9189927673
Deepak Rao,69,Bangalore,7821181811
Abhinav Jha,53,Lucknow,6304958097
Utkarsh Dubey,62,Delhi,6558911012
Arjun Verma,77,Lucknow,6399963303
Varun Dhawan,49,Lucknow,8868623454
Rohan Das,71,Ahmedabad,6349940887
Amitabh Tiwari,75,Mumbai,8214096462
Vikram Rathore,58,Delhi,9588770946
Priyanka Chopra,44,Jaipur,9344353899
Suresh Kumar,54,Lucknow,7578721259
Siddharth Jain,94,Pune,7210762423
Ritu Phogat,50,Hyderabad,8527240754
Abhinav Jha,83,Mumbai,8959313112
Hritik Malhotra,58,Jaipur,6920800222
Amitabh Tiwari,78,Lucknow,9343539763
Alia Bhatt,56,Hyderabad,8709815974
Riya Chauhan,72,Jaipur,7427717265
Riya Chauhan,55,Delhi,7826650118
Pooja Hegde,81,Jaipur,7819643717
Meera Pillai,67,Kolkata,8826501588
Kabir Khan,60,Hyderabad,6268045462
Rahul Bose,76,Delhi,9838186142
Deepika Padukone,59,Hyderabad,6417462230
Sameer Ansari,39,Mumbai,9125571147
Aarav Sharma,63,Pune,9814615556
Gauri Deshmukh,48,Delhi,9280102881
Pranav Kulkarni,79,Bangalore,8391231016
Rohan Das,96,Kolkata,7463068781
Meera Pillai,54,Delhi,9226971598
Kabir Khan,39,Kolkata,9625098614
Rahul Bose,55,Bangalore,6496562726
Advait Nair,76,Lucknow,8953905891
Sameer Ansari,89,Lucknow,8913351509
Amitabh Tiwari,51,Mumbai,6722914894
Ishani Kapoor,58,Kolkata,8586001078
Vanya Patil,46,Hyderabad,6179332277
